rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
15273,9181012,2,,1.2816,1.36E-05,132.165,4.91E-03,9.00E-01,5.10E-01,3.359,3.91E+00,6.37E+01,6.46E+00,1.17E+01,0.9323,4.44E-01,1.69E+03,3.30E+02,,,5815,168,4.42,0.26,0.986,0.38,AFP
15274,9181340,1,,2.13116,4.83E-06,133.325,1.50E-03,9.76E-01,6.92E-03,3.31,3.95E-02,5.25E+02,1.61E+01,4.72E+01,3.17,2.54E-01,1.56E+03,2.79E+02,,,6181,204,4.38,0.25,1.028,0.363,UNK
15275,9182355,1,,2.32942,2.35E-05,132.432,5.55E-03,7.04E-01,5.22E-01,8.236,2.49E+00,5.26E+00,4.55E-01,1.16E+01,0.8209,1.08E-01,3.06E+03,5.35E+02,,,7932,309,3.7,0.27,3.339,1.138,UNK
15276,9221627,1,,1.76137,1.01E-05,132.993,2.24E-03,5.60E-02,1.13E+02,1.23,2.06E-01,3.44E+02,5.35E+01,9.77E+00,2.17,2.61E+00,1.78E+03,5.89E+02,,,6517,260,4.38,0.37,1.159,0.761,UNK
15277,9222516,1,,0.639379,1.26E-05,131.892,2.18E-03,1.34E-01,6.62E+01,1.105,4.43E-01,2.30E+01,4.07E+00,8.91E+00,0.6745,1.13E+00,2.75E+03,7.55E+02,,,6614,255,4.25,0.31,1.387,0.754,AFP
15278,9222516,2,,0.639375,1.02E-05,131.571,1.87E-03,7.11E-01,7.73E-01,1.184,1.47E-01,2.75E+01,3.67E+00,1.15E+01,0.7838,1.63E-01,2.75E+03,7.55E+02,,,6614,255,4.25,0.31,1.387,0.754,AFP
15279,9222942,1,,0.791757,1.44E-05,132.264,1.35E-03,9.11E-01,1.94E-01,1.663,6.05E-01,3.09E+01,6.28E+00,6.16E+00,1.371,2.65E-01,3.33E+03,7.15E+02,,,7232,327,3.98,0.24,2.107,0.885,UNK
15280,9243795,1,,14.4431,7.40E-07,139.391,4.25E-05,9.52E-01,3.95E-03,8.237,2.63E-03,4.16E+04,1.26E+01,4.09E+03,110.8,1.03E+00,1.31E+03,4.04E+02,,,5759,181,3.52,0.62,3.521,2.162,UNK
15281,9243826,1,,2.40566,3.96E-05,132.589,9.45E-03,9.00E-01,4.84E-01,5.097,4.15E+00,1.29E+01,2.38E+00,5.57E+00,1.049,4.19E-01,2.26E+03,4.72E+02,,,6477,229,3.81,0.34,2.501,1.032,UNK
15282,9244508,1,,40.5288,2.94E-04,168.019,5.98E-03,9.03E-02,4.22E+01,10.44,1.22E+00,3.36E+02,1.68E+01,1.96E+01,2.113,1.65E+00,5.97E+02,1.64E+02,,,6269,239,4.41,0.31,1.155,0.63,PC
