rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
4898,5202905,2,,14.8446,6.86E-05,143.579,3.74E-03,4.97E-01,2.95E+00,5.909,3.08E-01,1.65E+02,6.75E+00,2.70E+01,2.451,8.67E-01,1.09E+03,1.41E+02,,,6642,178,4.06,0.17,1.846,0.466,PC
4923,5358212,1,,0.53591,2.62E-04,131.958,6.81E-02,3.00E-01,7.85E+01,1.917,1.20E+01,1.64E+00,5.37E+00,4.28E-01,0.1067,6.59E-01,2.03E+03,4.10E+02,,,5631,163,4.55,0.27,0.834,0.334,NTP
4928,4949027,1,,1.06101,9.89E-06,132.527,2.49E-03,4.42E-01,6.01E+00,1.766,2.59E-01,9.59E+01,1.30E+01,1.01E+01,0.9599,6.80E-01,1.79E+03,3.45E+02,,,5966,221,4.49,0.28,0.961,0.363,AFP
4936,5021737,1,,15.0395,5.65E-06,144.137,3.16E-04,1.00E+00,1.29E-02,5.299,1.98E-01,5.87E+03,6.23E+02,5.93E+02,19.6,2.37E+00,9.57E+02,2.89E+02,,,6493,203,4.22,0.33,1.424,0.855,AFP
4937,5021737,2,,15.0395,5.32E-06,137.207,2.88E-04,1.00E+00,1.75E-02,5.211,7.98E-02,5.68E+03,2.09E+02,5.80E+02,19.3,2.22E+00,9.57E+02,2.89E+02,,,6493,203,4.22,0.33,1.424,0.855,AFP
4955,5202905,3,,0.565723,1.47E-05,131.736,4.06E-03,1.14E-02,5.82E+02,2.35,4.49E+00,1.36E+01,2.58E+00,7.41E+00,0.6864,8.41E-01,3.25E+03,4.19E+02,,,6642,178,4.06,0.17,1.846,0.466,NTP
4956,5202905,4,,0.768916,1.10E-05,132.11,3.92E-03,6.48E-02,9.59E+01,3.424,7.10E+00,2.77E+01,4.00E+00,1.08E+01,0.9772,1.13E+00,2.93E+03,3.78E+02,,,6642,178,4.06,0.17,1.846,0.466,NTP
5046,4949801,1,,1.56409,2.33E-05,133.024,8.47E-03,1.54E-02,3.28E+02,7.66,1.54E+01,7.86E+01,7.59E+00,1.07E+01,0.8073,1.09E+00,1.43E+03,2.48E+02,,,5480,168,4.51,0.26,0.934,0.318,AFP
5054,5023338,1,,0.563823,5.65E-06,131.702,7.28E-04,1.21E-01,1.77E+01,1.028,6.13E-02,3.28E+02,2.28E+01,2.06E+01,7.005,2.72E+00,4.92E+03,8.12E+02,,,7661,311,3.66,0.29,3.803,1.215,AFP
5074,5185153,1,,3.25178,4.40E-05,134.394,8.93E-03,4.06E-01,6.73E+00,12.05,1.03E+01,8.52E+01,8.09E+00,1.05E+01,0.7999,6.18E-01,1.12E+03,2.38E+02,,,5623,161,4.54,0.29,0.861,0.361,AFP
5115,5023338,2,,0.563822,6.02E-06,131.944,8.17E-04,5.00E-01,2.27E+00,1.026,6.03E-02,3.07E+02,2.34E+01,1.99E+01,6.952,1.87E+00,4.92E+03,8.12E+02,,,7661,311,3.66,0.29,3.803,1.215,AFP
5116,5023338,3,,0.563814,1.06E-05,131.547,1.06E-03,1.00E-01,3.26E+01,1.06,1.14E-01,2.68E+02,3.11E+01,1.83E+01,6.324,3.71E+00,4.92E+03,8.12E+02,,,7661,311,3.66,0.29,3.803,1.215,AFP
5121,5036537,1,,1.061,2.96E-07,132.527,7.98E-05,8.38E-01,4.91E-03,2.237,8.73E-03,7.84E+03,3.49E+01,3.61E+02,9.728,5.00E-02,1.57E+03,6.55E+02,,,5080,214,4.42,0.48,0.947,0.787,AFP
5124,5090937,1,,1.95571,2.65E-05,133.272,6.71E-03,4.11E-01,5.88E+00,11.54,2.38E+01,6.26E+00,6.90E-01,9.48E+00,0.8391,4.20E-01,3.27E+03,5.64E+02,,,8092,332,3.73,0.28,3.267,1.095,NTP
5133,5185153,2,,3.25135,5.04E-05,132.826,1.06E-02,5.65E-01,2.99E+00,13.77,1.43E+01,7.56E+01,7.50E+00,1.11E+01,0.7718,4.49E-01,1.12E+03,2.38E+02,,,5623,161,4.54,0.29,0.861,0.361,AFP
5145,5269603,1,,1.00706,1.34E-05,132.274,4.28E-03,5.28E-01,1.24E+00,2.621,3.94E-01,7.99E+00,1.22E+00,8.12E+00,0.5579,9.57E-02,2.84E+03,8.23E+02,,,7033,252,4.06,0.33,1.896,1.089,UNK
5158,5309796,1,,1.80851,1.47E-05,132.605,3.45E-03,8.91E-01,4.24E-01,3.236,1.23E+00,2.76E+01,3.44E+00,8.95E+00,1.045,3.25E-01,2.19E+03,4.82E+02,,,6611,214,4.03,0.26,1.716,0.748,AFP
5159,5309796,2,,1.80848,1.66E-05,133.086,3.97E-03,1.25E-03,3.26E+03,4.821,2.26E+00,2.64E+01,5.82E+00,9.37E+00,0.8868,6.69E-01,2.19E+03,4.82E+02,,,6611,214,4.03,0.26,1.716,0.748,AFP
5240,5024268,1,,2.15054,9.82E-06,132.315,1.21E-03,3.00E-01,2.30E+00,3.546,1.32E-01,6.27E+01,7.82E+00,1.00E+01,14.67,3.26E+00,4.34E+03,1.74E+02,,,4899,74,2.36,0.01,18.92,1.4,AFP
5276,5304456,1,,4.57914,8.36E-05,131.884,1.36E-02,9.21E-01,4.54E-03,13.85,2.88E-01,1.29E+02,1.07E+01,1.23E+01,1.581,6.51E-02,1.29E+03,3.23E+02,,,6495,275,4.38,0.29,1.168,0.575,UNK
5297,5024292,1,,2.15051,0.00E+00,132.308,0.00E+00,1.00E-01,0.00E+00,3.5,0.00E+00,2.48E+05,0.00E+00,-1.00E+00,61.2,0.00E+00,1.81E+03,0.00E+00,,,6400,283,4.24,0.42,1.492,1.086,NTP
5350,4945035,1,,1.17468,2.20E-06,131.837,5.16E-04,1.00E-01,1.42E+01,1.488,2.44E-02,2.33E+02,6.60E+00,4.71E+01,1.742,5.30E-01,1.90E+03,4.40E+02,,,5974,194,4.33,0.27,1.143,0.524,AFP
5358,5024482,1,,1.5259,2.70E-06,132.704,6.42E-04,5.06E-01,1.28E+00,1.693,3.36E-02,2.70E+02,8.69E+00,4.11E+01,3.578,5.63E-01,2.55E+03,5.19E+02,,,6640,249,3.88,0.35,2.099,0.841,AFP
5400,5371492,1,,4.06701,1.34E-04,133.787,2.23E-02,8.64E-01,4.81E-01,13.49,1.52E+01,1.69E+01,2.16E+00,7.83E+00,0.8427,2.13E-01,1.89E+03,6.11E+02,,,7719,301,4.14,0.37,1.811,1.165,AFP
5401,5371492,2,,4.06687,6.85E-05,131.927,1.15E-02,5.12E-01,3.53E+00,14.04,9.00E+00,2.79E+01,2.61E+00,1.15E+01,0.9949,3.90E-01,1.89E+03,6.11E+02,,,7719,301,4.14,0.37,1.811,1.165,AFP
5420,5039129,1,,1.31963,7.91E-06,132.084,2.14E-03,4.45E-02,1.32E+02,2.112,3.96E-01,7.33E+01,7.16E+00,1.37E+01,0.8858,1.02E+00,1.81E+03,4.48E+02,,,6277,194,4.45,0.31,1.031,0.508,AFP
5451,5296943,1,,1.30084,1.44E-05,131.864,2.55E-03,1.66E-01,3.33E+01,2.105,4.51E-01,4.16E+01,8.62E+00,6.55E+00,0.7441,8.31E-01,1.93E+03,5.51E+02,,,6324,207,4.36,0.32,1.147,0.651,UNK
5457,5350244,1,,12.5722,6.86E-05,143.07,4.38E-03,3.02E-01,7.46E+00,4.753,1.74E-01,8.82E+01,5.19E+00,1.69E+01,1.105,5.65E-01,8.86E+02,7.89E+01,,,6084,130,4.32,0.13,1.169,0.202,PC
5545,5097278,1,,0.766891,3.88E-06,132.174,4.65E-04,7.00E-01,2.44E-01,1.469,4.73E-02,7.48E+01,3.97E+00,2.60E+01,1.647,9.73E-02,3.15E+03,1.05E+03,,,7392,324,4.13,0.38,1.772,1.172,AFP
5546,5097278,2,,0.766889,6.69E-06,131.716,8.04E-04,3.00E-01,3.28E+00,1.451,9.03E-02,4.35E+01,4.02E+00,1.44E+01,1.199,2.20E-01,3.15E+03,1.05E+03,,,7392,324,4.13,0.38,1.772,1.172,AFP
5547,5097278,3,,0.732407,0.00E+00,131.573,0.00E+00,1.00E-01,0.00E+00,2.5,0.00E+00,1.14E+02,0.00E+00,-1.00E+00,1.924,0.00E+00,3.20E+03,0.00E+00,,,7392,324,4.13,0.38,1.772,1.172,UNK
5557,5198246,1,,3.5733,5.31E-05,133.793,9.70E-03,3.99E-01,1.08E+01,7.38,2.71E+00,6.87E+01,8.35E+00,8.57E+00,0.9918,9.70E-01,1.40E+03,3.77E+02,,,6422,283,4.37,0.31,1.173,0.624,NTP
5612,5198390,1,,1.05911,1.29E-05,132.176,2.70E-03,3.06E-01,1.10E+01,1.397,1.43E-01,3.30E+01,5.45E+00,7.89E+00,0.8246,5.43E-01,2.41E+03,8.23E+02,,,6905,278,4.27,0.38,1.404,0.95,UNK
5619,5213902,1,,1.1948,2.52E-06,132.189,5.63E-04,6.92E-01,5.03E-01,1.36,2.90E-02,1.87E+02,6.31E+00,4.07E+01,1.426,1.85E-01,1.81E+03,3.76E+02,,,6192,193,4.47,0.3,0.973,0.4,AFP
5641,5374279,1,,1.14438,9.26E-06,131.529,2.33E-03,6.68E-01,7.36E-01,3.329,7.12E-01,3.76E+01,3.88E+00,1.17E+01,0.8311,1.33E-01,2.24E+03,5.87E+02,,,6810,237,4.31,0.31,1.274,0.66,UNK
5642,5374279,2,,0.877369,1.00E-05,132.006,2.60E-03,3.32E-02,1.41E+02,2.838,2.26E+00,3.53E+01,5.08E+00,1.05E+01,0.764,6.39E-01,2.45E+03,6.41E+02,,,6810,237,4.31,0.31,1.274,0.66,UNK
5643,4946627,1,,0.561279,8.69E-06,131.573,1.52E-03,1.00E-01,5.28E+01,1.4,7.40E-01,2.85E+01,3.41E+00,1.36E+01,0.7443,7.16E-01,2.92E+03,8.71E+02,,,6823,255,4.28,0.34,1.377,0.814,NTP
5647,4990977,1,,2.64903,4.18E-08,133.38,8.58E-06,9.06E-01,4.99E-03,2.446,1.12E-03,5.34E+04,2.18E+01,3.61E+03,32.5,3.37E-01,1.38E+03,2.81E+02,,,5838,166,4.34,0.26,0.988,0.399,AFP
5648,4990977,2,,2.64902,1.37E-07,132.056,2.79E-05,9.00E-01,2.88E-03,2.306,3.57E-03,1.60E+04,2.28E+01,1.02E+03,15.87,1.38E-01,1.38E+03,2.81E+02,,,5838,166,4.34,0.26,0.988,0.399,AFP
5685,6372194,1,,281.592,7.11E-04,261.819,2.00E-03,6.73E-01,7.64E-02,5.677,1.55E-01,9.72E+03,1.23E+02,8.39E+01,7.508,1.96E-01,2.25E+02,2.65E+01,,,5314,222,4.62,0.13,0.719,0.158,PC
5728,6263593,2,,459.329,1.12E-02,260.167,1.68E-02,2.78E-01,5.22E+01,4.036,4.05E+00,1.28E+03,3.44E+02,4.96E+00,1.986,9.35E+00,1.53E+02,8.25E+00,,,4560,129,4.7,0.05,0.568,0.052,NTP
5856,6267414,1,,459.267,6.15E-03,260.315,9.19E-03,9.40E-04,6.05E+03,3.649,3.79E-01,4.27E+02,3.06E+02,3.87E+00,24.07,5.20E+01,6.09E+02,2.24E+02,,,4216,163,2.24,0.34,12.39,9.048,NTP
5857,6289081,1,,4.08898,1.07E-04,134.853,1.77E-02,8.89E-01,2.40E-01,11.77,7.77E+00,3.22E+00,5.15E-01,6.17E+00,0.5064,9.09E-02,2.19E+03,5.50E+02,,,8002,326,3.97,0.31,2.449,1.213,NTP
5861,6303679,1,,3.62598,3.32E-05,132.16,5.72E-03,2.95E-01,1.12E+01,6.481,1.16E+00,5.26E+01,5.86E+00,9.65E+00,1.239,8.52E-01,1.67E+03,3.82E+02,,,6398,224,4.03,0.29,1.687,0.76,NTP
5863,6305572,1,,1.50008,7.33E-06,131.925,1.95E-03,9.03E-01,2.70E-01,2.845,8.40E-01,6.46E+01,4.47E+00,1.69E+01,1.84,3.23E-01,3.20E+03,1.22E+03,,,9388,422,4.18,0.4,1.986,1.505,AFP
5906,6208741,1,,1.4,2.58E-05,132.642,8.46E-03,5.82E-01,2.45E-01,5.763,1.87E+00,1.39E+01,3.20E+00,6.92E+00,1.448,1.29E-01,3.51E+03,8.14E+02,,,7141,327,3.56,0.4,3.714,1.69,NTP
5920,6305572,2,,1.50008,8.25E-06,132.843,2.18E-03,7.00E-01,6.57E-01,2.707,2.24E-01,5.60E+01,4.58E+00,1.50E+01,1.597,2.14E-01,3.20E+03,1.22E+03,,,9388,422,4.18,0.4,1.986,1.505,AFP
5921,6305572,3,,0.5,2.07E-04,131.723,3.06E-02,7.00E-01,2.65E+00,1.678,2.37E+00,2.26E+00,5.43E+00,8.33E-01,0.3209,4.20E-01,4.61E+03,1.76E+03,,,9388,422,4.18,0.4,1.986,1.505,UNK
